"cell","a","b","n","pow_a","pow_b","diff","discordant","p","lo","hi","verdict"
"cloglog n=500 G=33 (m=15)","EDGE.poly3","GiViTI",2000,0.419,0.539,-0.12,436,5.77440568036098e-32,-0.136719566630376,-0.10163193257736,"B better"
"cloglog n=500 G=33 (m=15)","EDGE.poly3","Stukel",2000,0.419,0.5095,-0.0905,205,3.43276910617774e-43,-0.0962251127773538,-0.0819961968221226,"B better"
"cloglog n=500 G=33 (m=15)","EDGE.stk","GiViTI",2000,0.3185,0.539,-0.2205,511,5.89858949550736e-100,-0.230885986394888,-0.207479894428999,"B better"
"cloglog n=500 G=33 (m=15)","EDGE.stk","Stukel",2000,0.3185,0.5095,-0.191,424,8.61225940618057e-93,-0.19889132362872,-0.180320771280748,"B better"
"cloglog n=500 G=20 (m=25)","EDGE.poly3","GiViTI",2000,0.3685,0.5315,-0.163,466,2.76580095725148e-56,-0.177541640691695,-0.146353081114444,"B better"
"cloglog n=500 G=20 (m=25)","EDGE.poly3","Stukel",2000,0.3685,0.4725,-0.104,244,5.92922818416728e-47,-0.111189618686104,-0.0941633104704819,"B better"
"cloglog n=500 G=20 (m=25)","EDGE.stk","GiViTI",2000,0.251,0.5315,-0.2805,589,6.00645422461855e-150,-0.286811009490223,-0.271199639347734,"B better"
"cloglog n=500 G=20 (m=25)","EDGE.stk","Stukel",2000,0.251,0.4725,-0.2215,467,1.04991622732626e-117,-0.227267235541401,-0.212739454456272,"B better"
"cloglog n=500 G=10 (m=50)","EDGE.poly3","GiViTI",2000,0.371,0.53,-0.159,488,1.54240033661753e-50,-0.174915912638983,-0.14112905594336,"B better"
"cloglog n=500 G=10 (m=50)","EDGE.poly3","Stukel",2000,0.371,0.4915,-0.1205,329,2.28354173033149e-44,-0.131967234047038,-0.106809270164037,"B better"
"cloglog n=500 G=10 (m=50)","EDGE.stk","GiViTI",2000,0.2935,0.53,-0.2365,587,4.26204086663978e-97,-0.249840925564694,-0.220725273661611,"B better"
"cloglog n=500 G=10 (m=50)","EDGE.stk","Stukel",2000,0.2935,0.4915,-0.198,456,9.65290776337071e-91,-0.207559993202617,-0.1857794043152,"B better"
"cloglog n=500 G=5 (m=100)","EDGE.poly3","GiViTI",2000,0.327,0.552,-0.225,658,4.56354422696316e-75,-0.242797583558614,-0.205157090317035,"B better"
"cloglog n=500 G=5 (m=100)","EDGE.poly3","Stukel",2000,0.327,0.5005,-0.1735,483,8.78484879063301e-62,-0.187880775989666,-0.156956182237436,"B better"
"cloglog n=500 G=5 (m=100)","EDGE.stk","GiViTI",2000,0.319,0.552,-0.233,690,1.57406532904758e-76,-0.251455081963397,-0.212527202692987,"B better"
"cloglog n=500 G=5 (m=100)","EDGE.stk","Stukel",2000,0.319,0.5005,-0.1815,521,3.31136613461947e-62,-0.196978013910163,-0.163929438867044,"B better"
"cloglog n=500 G=4 (m=125)","EDGE.poly3","GiViTI",2000,0.2725,0.549,-0.2765,729,1.54215945331466e-104,-0.293093813799964,-0.257632150869559,"B better"
"cloglog n=500 G=4 (m=125)","EDGE.poly3","Stukel",2000,0.2725,0.5095,-0.237,602,2.61872961403236e-94,-0.251130061080693,-0.22049687436524,"B better"
"cloglog n=500 G=4 (m=125)","EDGE.stk","GiViTI",2000,0.371,0.549,-0.178,666,2.90630315944537e-45,-0.199045895395666,-0.15536308557261,"B better"
"cloglog n=500 G=4 (m=125)","EDGE.stk","Stukel",2000,0.371,0.5095,-0.1385,537,3.1336631687909e-34,-0.157647467223635,-0.117813573705404,"B better"
"cloglog n=1000 G=67 (m=15)","EDGE.poly3","GiViTI",2000,0.847,0.885,-0.038,244,1.30596672928806e-06,-0.0525045149660323,-0.0225593045990033,"B better"
"cloglog n=1000 G=67 (m=15)","EDGE.poly3","Stukel",2000,0.847,0.8925,-0.0455,95,2.30271653677633e-25,-0.0472568172913241,-0.0404712779942614,"B better"
"cloglog n=1000 G=67 (m=15)","EDGE.stk","GiViTI",2000,0.799,0.885,-0.086,312,2.48309009868242e-23,-0.100064716835266,-0.0702756949350273,"B better"
"cloglog n=1000 G=67 (m=15)","EDGE.stk","Stukel",2000,0.799,0.8925,-0.0934999999999999,195,2.37551893032712e-51,-0.0964047511138235,-0.0874213270675287,"B better"
"cloglog n=1000 G=40 (m=25)","EDGE.poly3","GiViTI",2000,0.8265,0.8855,-0.0589999999999999,278,1.03473184548918e-12,-0.0735948131055608,-0.0431293827933726,"B better"
"cloglog n=1000 G=40 (m=25)","EDGE.poly3","Stukel",2000,0.8265,0.8695,-0.043,94,3.21906847144262e-22,-0.0458988628787727,-0.0370941956068561,"B better"
"cloglog n=1000 G=40 (m=25)","EDGE.stk","GiViTI",2000,0.7585,0.8855,-0.127,368,1.84788914018479e-43,-0.140033987543256,-0.111881346749281,"B better"
